tweet_id,tweet_date,source,text,name,retweet_count,favorite_count,bread,age_stage,rating
892420643555336193,2017-08-01 16:23:56+00:00,iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,6973,33694,,,1.3
892177421306343426,2017-08-01 00:17:27+00:00,iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,5276,29218,Chihuahua,,1.3
891815181378084864,2017-07-31 00:18:03+00:00,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,3465,21972,Chihuahua,,1.2
891689557279858688,2017-07-30 15:58:51+00:00,iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,7195,36805,Labrador_retriever,,1.3
891327558926688256,2017-07-29 16:00:24+00:00,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,7721,35192,basset,,1.2
891087950875897856,2017-07-29 00:08:17+00:00,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,2588,17752,Chesapeake_Bay_retriever,,1.3
890971913173991426,2017-07-28 16:27:12+00:00,iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,1648,10322,Appenzeller,,1.3
890729181411237888,2017-07-28 00:22:40+00:00,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,15688,56686,Pomeranian,,1.3
890609185150312448,2017-07-27 16:25:51+00:00,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,3605,24421,Irish_terrier,,1.3
890240255349198849,2017-07-26 15:59:51+00:00,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,6074,27840,Pembroke,doggo,1.4
890006608113172480,2017-07-26 00:31:25+00:00,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,6114,26951,Samoyed,,1.3
889880896479866881,2017-07-25 16:11:53+00:00,iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,4141,24493,French_bulldog,,1.3
889665388333682689,2017-07-25 01:55:32+00:00,iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,,8305,41889,Pembroke,puppo,1.3
889638837579907072,2017-07-25 00:10:02+00:00,iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,3700,23585,French_bulldog,,1.2
889531135344209921,2017-07-24 17:02:04+00:00,iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,1874,13314,golden_retriever,puppo,1.3
889278841981685760,2017-07-24 00:19:32+00:00,iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,4421,22002,whippet,,1.3
888917238123831296,2017-07-23 00:22:39+00:00,iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Jim,3745,25534,golden_retriever,,1.2
888804989199671297,2017-07-22 16:56:37+00:00,iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Zeke,3516,22380,golden_retriever,,1.3
888554962724278272,2017-07-22 00:23:06+00:00,iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Ralphus,2865,17253,Siberian_husky,,1.3
888078434458587136,2017-07-20 16:49:33+00:00,iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Gerald,2885,19103,French_bulldog,,1.2
887705289381826560,2017-07-19 16:06:48+00:00,iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,Jeffrey,4519,26534,basset,,1.3
887517139158093824,2017-07-19 03:39:09+00:00,iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,,9813,40591,,,1.4
887473957103951883,2017-07-19 00:47:34+00:00,iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,Canela,14958,59991,Pembroke,,1.3
887343217045368832,2017-07-18 16:08:03+00:00,iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,,8777,29497,Mexican_hairless,,1.3
887101392804085760,2017-07-18 00:07:08+00:00,iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,,4971,26900,Samoyed,,1.2
886983233522544640,2017-07-17 16:17:36+00:00,iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,Maya,6289,30240,Chihuahua,,1.3
886736880519319552,2017-07-16 23:58:41+00:00,iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",Mingus,2618,10456,kuvasz,,1.3
886680336477933568,2017-07-16 20:14:00+00:00,iPhone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,Derek,3722,19660,,,1.3
886366144734445568,2017-07-15 23:25:31+00:00,iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,Roscoe,2613,18488,French_bulldog,pupper,1.2
886258384151887873,2017-07-15 16:17:19+00:00,iPhone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,Waffles,5257,24432,pug,,1.3
885984800019947520,2017-07-14 22:10:11+00:00,iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,Jimbo,5590,28506,Blenheim_spaniel,,1.2
885528943205470208,2017-07-13 15:58:47+00:00,iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,Maisey,5307,31489,pug,,1.3
885167619883638784,2017-07-12 16:03:00+00:00,iPhone,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,,3654,19192,malamute,,1.3
884925521741709313,2017-07-12 00:01:00+00:00,iPhone,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",Earl,14950,67046,Italian_greyhound,,1.2
884876753390489601,2017-07-11 20:47:12+00:00,iPhone,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,Lola,4640,24305,chow,,1.3
884562892145688576,2017-07-11 00:00:02+00:00,iPhone,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,Kevin,3896,21230,pug,,1.3
884441805382717440,2017-07-10 15:58:53+00:00,iPhone,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",,4778,23790,Pembroke,,1.4
884162670584377345,2017-07-09 21:29:42+00:00,iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,Yogi,2493,17877,German_shepherd,doggo,1.2
883838122936631299,2017-07-09 00:00:04+00:00,iPhone,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,Noah,2849,19096,Doberman,,1.2
883482846933004288,2017-07-08 00:28:19+00:00,iPhone,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",Bella,8228,40052,golden_retriever,,0.5
883360690899218434,2017-07-07 16:22:55+00:00,iPhone,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,Grizzwald,3061,19881,chow,floofer,1.3
883117836046086144,2017-07-07 00:17:54+00:00,iPhone,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E",,5512,32383,golden_retriever,,1.3
882992080364220416,2017-07-06 15:58:11+00:00,iPhone,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,Rusty,3231,20921,Eskimo_dog,,1.3
882762694511734784,2017-07-06 00:46:41+00:00,iPhone,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,Gus,4079,24686,Labrador_retriever,pupper,1.2
882627270321602560,2017-07-05 15:48:34+00:00,iPhone,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,Stanley,5045,24513,Pembroke,,1.3
882268110199369728,2017-07-04 16:01:23+00:00,iPhone,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,Alfy,9587,39059,golden_retriever,,1.3
882045870035918850,2017-07-04 01:18:17+00:00,iPhone,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko https://t.co/zeDpnsKX7w",Koko,4068,25627,golden_retriever,,1.3
881906580714921986,2017-07-03 16:04:48+00:00,iPhone,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ,Rey,2841,21382,Weimaraner,,1.2
881666595344535552,2017-07-03 00:11:11+00:00,iPhone,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,Gary,8917,44414,Saluki,,1.3
881536004380872706,2017-07-02 15:32:16+00:00,iPhone,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) https://t.co/ghXBIIeQZF",,13352,43301,Samoyed,pupper,1.4
881268444196462592,2017-07-01 21:49:04+00:00,iPhone,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet https://t.co/cgwJwowTMC,Elliot,4485,20421,,,1.2
880935762899988482,2017-06-30 23:47:07+00:00,iPhone,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking https://t.co/D0wb1GlKAt,Louis,2326,15003,,,1.3
880872448815771648,2017-06-30 19:35:32+00:00,iPhone,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 https://t.co/WiAMbTkDPf,,3192,18647,Pembroke,,1.2
880465832366813184,2017-06-29 16:39:47+00:00,iPhone,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw,Bella,5194,24931,golden_retriever,,1.2
880221127280381952,2017-06-29 00:27:25+00:00,iPhone,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well https://t.co/fUod0tVmvK,Jesse,3449,23565,Chihuahua,,1.2
880095782870896641,2017-06-28 16:09:20+00:00,iPhone,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho 11/10 https://t.co/HauE8M3Bu4,,3636,24241,miniature_pinscher,,1.1
879862464715927552,2017-06-28 00:42:13+00:00,iPhone,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9,Romeo,2916,19641,basset,,1.3
879492040517615616,2017-06-27 00:10:17+00:00,iPhone,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/IxM9IMKQq8,Bailey,2619,20654,German_short-haired_pointer,,1.2
879415818425184262,2017-06-26 19:07:24+00:00,iPhone,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY,Duddles,37239,92469,English_springer,,1.3
879376492567855104,2017-06-26 16:31:08+00:00,iPhone,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by https://t.co/0gOi601EAa,Jack,2635,14793,Pembroke,,1.2
879050749262655488,2017-06-25 18:56:45+00:00,iPhone,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet https://t.co/2mJCDEJWdD,Steven,3936,19751,,,1.1
879008229531029506,2017-06-25 16:07:47+00:00,iPhone,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN,Beau,2232,16713,vizsla,,1.3
878776093423087618,2017-06-25 00:45:22+00:00,iPhone,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS,Snoopy,3421,17065,Italian_greyhound,puppo,1.3
